Status,Date,Original Description,Split Type,Category,Currency,Amount,User Description,Memo,Classification,Account Name,Simple Description
posted,6/30/2017,Online Banking payment to CRD 3941                          Confirmation# xxxxxx1060,,Credit Card Payments,$,-124,,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/30/2017,Online Banking payment to CRD 5360                          Confirmation# xxxxxx8586,,Credit Card Payments,$,-921,,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/30/2017,CRAZY LOVE MINIS DES:4NJD       ID:4NJD 15                   INDN:JEANNE LIN              CO ID:1364,,Paychecks/Salary,$,"1,643.71",,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/30/2017,Online scheduled payment to MTG 7841                        Confirmation# xxxxxx9713,,Mortgages,$,"-1,955.41",,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,
posted,6/30/2017,TMOBILE*AUTO PAY         xxx-xxx-8997 WA,,Telephone Services,$,-176.19,,,Personal,Bank of America - Credit Card - BankAmericard Travel Rewards Visa Signat,T-Mobile
posted,6/30/2017,GROUPON INC              GROUPON.COM  IL,,Gifts,$,-118,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Groupon Inc.
posted,6/29/2017,LA PETITE CAMILLE        MILLBRAE     CA,,Restaurants/Dining,$,-20,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/28/2017,Preferred Rewards-Intl Wire Fee Waiver of $16,,Service Charges/Fees,$,0,,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/28/2017,BKOFAMERICA MOBILE 06/28 xxxxxx0302 DEPOSIT                                    *MOBILE       CA,,Other Income,$,280.55,,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/28/2017,WIRE TYPE:INTL IN DATE:xx0628 TIME:0518 ET                  TRN:xxxxxxxxxxxx6558 SEQ:xxxxxxxxxxx0851,,Paychecks/Salary,$,"9,979.00",,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/28/2017,Bank of America Credit Card Bill Payment,,Credit Card Payments,$,-25,,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,Bank of America
posted,6/28/2017,Bank of America Credit Card Bill Payment,,Credit Card Payments,$,-25,,,Personal,Bank of America - Bank - Money Market Savings,Bank of America
posted,6/28/2017,COSTCO WHSE #0422 SOUTH SAN FRACA,,Groceries,$,-12.88,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/28/2017,PAYMENT - THANK YOU,,Credit Card Payments,$,25,,,Personal,Bank of America - Credit Card - BankAmericard Travel Rewards Visa Signat,Payment Thank You
posted,6/28/2017,PAYMENT - THANK YOU,,Credit Card Payments,$,25,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Payment Thank You
posted,6/26/2017,Online scheduled payment to CSL 4521                        Confirmation# xxxxxx7971,,Car Related,$,-438.45,,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,
posted,6/26/2017,UBER US JUN26 GY5QU HELP.UBER.COMCA,,Travel,$,-15.15,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,Uber Technologies Ltd
posted,6/26/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,,Groceries,$,-21.46,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Safeway
posted,6/25/2017,DELTA AIR 0xxxxxxxx1347DELTA.COM CA NAME: LIN/RONGKE DEPART: 06/26/2017 SEA TO SFO : DL: CLASS: U : STOP: O,,Travel,$,-215.2,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,Delta Air Lines
posted,6/24/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,,Groceries,$,-21.97,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Safeway
