Date,Original Description,Category,Amount,Account Name
6/30/2017,Online Banking payment to CRD 3941                          Confirmation# xxxxxx1060,Credit Card Payments,-124,Bank of America - Bank - Bofa Interest Checking
6/30/2017,Online Banking payment to CRD 5360                          Confirmation# xxxxxx8586,Credit Card Payments,-921,Bank of America - Bank - Bofa Interest Checking
6/30/2017,CRAZY LOVE MINIS DES:4NJD       ID:4NJD 15                   INDN:JEANNE LIN              CO ID:1364,Paychecks/Salary,"1,643.71",Bank of America - Bank - Bofa Interest Checking
6/30/2017,Online scheduled payment to MTG 7841                        Confirmation# xxxxxx9713,Mortgage/Rent,"-1,955.41",Bank of America - Bank - Adv Tiered Interest Chkg
6/30/2017,TMOBILE*AUTO PAY         xxx-xxx-8997 WA,Cell Phone,-176.19,Bank of America - Credit Card - BankAmericard Travel Rewards Visa Signat
6/30/2017,GROUPON INC              GROUPON.COM  IL,Gifts,-118,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/29/2017,LA PETITE CAMILLE        MILLBRAE     CA,Uncategorized,-20,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/28/2017,Preferred Rewards-Intl Wire Fee Waiver of $16,Finance Charges,0,Bank of America - Bank - Bofa Interest Checking
6/28/2017,BKOFAMERICA MOBILE 06/28 xxxxxx0302 DEPOSIT                                    *MOBILE       CA,Rental Income,280.55,Bank of America - Bank - Bofa Interest Checking
6/28/2017,WIRE TYPE:INTL IN DATE:xx0628 TIME:0518 ET                  TRN:xxxxxxxxxxxx6558 SEQ:xxxxxxxxxxx0851,Paychecks/Salary,"9,979.00",Bank of America - Bank - Bofa Interest Checking
6/28/2017,Bank of America Credit Card Bill Payment,Credit Card Payments,-25,Bank of America - Bank - Adv Tiered Interest Chkg
6/28/2017,Bank of America Credit Card Bill Payment,Credit Card Payments,-25,Bank of America - Bank - Money Market Savings
